"Jurisdiction","Regulation Name + Version","Document Title","Document Type","Issuing Authority","Publication Date","Effective Date","Last Updated","Source URL","Language","Section/Article Identifiers","Scope Summary","Notes for Ingestion","regulation_category","retrieval_priority","privacy_relevance","applicable_sector","superseded","superseded_by","concept_tags","document_id","parent_regulation","version","chunk_strategy","cross_references"
"Bahrain","CBB Rulebook Volume 1 — OM Module, Section OM-5.5 Cyber Security Risk Management (extract)","Bahrain_CBB_OM_Volume1_Cyber_Security_Extract","Regulatory Module (extract)","Central Bank of Bahrain","2021-07-01","2021-07-01","2024-04-01","https://www.cbb.gov.bh/wp-content/uploads/2019/01/Module-OM-for-Banks.pdf","en","OM-5.5.1 to OM-5.5.61","CBB cyber security risk management requirements for Bahrain-licensed conventional banks. Covers governance (CISO, board oversight), data classification, prevention controls, vulnerability assessment, penetration testing, incident detection and management, recovery, and mandatory CBB notification within 1 hour of any cyber incident compromising customer information.","Curated extract of OM-5.5 only. Privacy-relevant intersections with PDPL: OM-5.5.11-12 (data classification) ↔ PDPL Order 43 Art. 2; OM-5.5.15 (client data protection) ↔ PDPL Art. 8; OM-5.5.28 (penetration testing) ↔ PDPL Order 43 Art. 2(4); OM-5.5.57 (1-hour CBB breach notification) ↔ PDPL Order 43 Art. 4 (72-hour PDPA notification — dual-clock obligation).","banking_regulator","secondary","partial","banking","FALSE","","Data_Classification,Vulnerability_Assessment,Penetration_Testing,Incident_Response,Breach_Notification_Timeline,Security_Measures,Governance_Oversight","BH-CBB-OM5","","1.0","section","BH-PDPA-O43:Art.2; BH-PDPL:Art.8; BH-PDPA-O43:Art.4"
"Bahrain","PDPA Ministerial Order 42/2022","Bahrain_PDPA_Order_42_2022_Transfer_Personal_Data_Outside","Ministerial Order","Personal Data Protection Authority","2022-03-17","2022-03-18","2022-03-17","https://www.pdp.gov.bh/en/executive-decisions.html","en","Articles 1-6 (+ adequacy list of 83 countries)","Cross-border transfer rules implementing PDPL Article 12 — adequacy whitelist of 83 countries plus prior authorization process.","","privacy_implementing","primary","high","general","FALSE","","Cross_Border_Transfer,Adequacy_Decision,Prior_Authorization,Lawful_Basis","BH-PDPA-O42","BH-PDPL","1.0","article","BH-PDPL:Art.12"
"Bahrain","PDPA Ministerial Order 43/2022","Bahrain_PDPA_Order_43_2022_Technical_Organisational_Measures","Ministerial Order","Personal Data Protection Authority","2022-03-17","2022-03-18","2022-03-17","https://www.pdp.gov.bh/en/executive-decisions.html","en","Articles 1-9","Technical and organisational security measures implementing PDPL Article 8 — privacy by design, DPIA, 72-hour breach notification.","","privacy_implementing","primary","high","general","FALSE","","Security_Measures,Privacy_By_Design,DPIA,Breach_Notification_Timeline,Encryption","BH-PDPA-O43","BH-PDPL","1.0","article","BH-PDPL:Art.8"
"Bahrain","PDPA Ministerial Order 44/2022","Bahrain_PDPA_Order_44_2022_Notifications_Authorisations","Ministerial Order","Personal Data Protection Authority","2022-03-17","2022-03-18","2022-03-17","https://www.pdp.gov.bh/en/executive-decisions.html","en","Articles 1-8","Procedures for notifying the PDPA of processing operations and obtaining prior authorization implementing PDPL Articles 14-15.","","privacy_implementing","primary","high","general","FALSE","","Notification_Authority,Prior_Authorization,Records_of_Processing","BH-PDPA-O44","BH-PDPL","1.0","article","BH-PDPL:Art.14; BH-PDPL:Art.15"
"Bahrain","PDPA Ministerial Order 45/2022","Bahrain_PDPA_Order_45_2022_Sensitive_Personal_Data","Ministerial Order","Personal Data Protection Authority","2022-03-17","2022-03-18","2022-03-17","https://www.pdp.gov.bh/en/executive-decisions.html","en","Articles 1-5","Rules for processing sensitive personal data implementing PDPL Article 5 — consent and authorization requirements.","","privacy_implementing","primary","high","general","FALSE","","Sensitive_Data,Consent_Standard,Lawful_Basis","BH-PDPA-O45","BH-PDPL","1.0","article","BH-PDPL:Art.5"
"Bahrain","PDPA Ministerial Order 46/2022","Bahrain_PDPA_Order_46_2022_Data_Protection_Guardian_DPO","Ministerial Order","Personal Data Protection Authority","2022-03-17","2022-03-18","2022-03-17","https://www.pdp.gov.bh/en/executive-decisions.html","en","Articles 1-20","DPO appointment, qualifications, registration, and obligations implementing PDPL Article 10.","","privacy_implementing","primary","high","general","FALSE","","Data_Protection_Guardian,DPO,Accountability_Framework","BH-PDPA-O46","BH-PDPL","1.0","article","BH-PDPL:Art.10"
"Bahrain","PDPA Ministerial Order 47/2022","Bahrain_PDPA_Order_47_2022_DPO_Fees","Ministerial Order","Personal Data Protection Authority","2022-03-17","2022-03-18","2022-03-17","https://www.pdp.gov.bh/en/executive-decisions.html","en","Articles 1-5 (+ fee table)","DPO register enrollment and renewal fees, waiver and refund procedures.","","privacy_narrow","reference_only","low","general","FALSE","","Data_Protection_Guardian,DPO,Registration_Fees","BH-PDPA-O47","BH-PDPL","1.0","article","BH-PDPA-O46"
"Bahrain","PDPA Ministerial Order 48/2022","Bahrain_PDPA_Order_48_2022_Consent_Processing_Conditions","Ministerial Order","Personal Data Protection Authority","2022-03-17","2022-03-18","2022-03-17","https://www.pdp.gov.bh/en/executive-decisions.html","en","Articles 1-8","Data subject rights — consent, withdrawal, automated decision objection, cookie walls — implementing PDPL Section 5.","","privacy_implementing","primary","high","general","FALSE","","Consent_Standard,Data_Subject_Rights,Automated_Decision_Making,Cookie_Consent","BH-PDPA-O48","BH-PDPL","1.0","article","BH-PDPL:Sec.5"
"Bahrain","PDPA Ministerial Order 49/2022","Bahrain_PDPA_Order_49_2022_Complaints_to_Authority","Ministerial Order","Personal Data Protection Authority","2022-03-17","2022-03-18","2022-03-17","https://www.pdp.gov.bh/en/executive-decisions.html","en","Articles 1-8","Procedures for data subjects to lodge complaints with the PDPA implementing PDPL Article 25.","","privacy_implementing","primary","high","general","FALSE","","Complaints_Procedure,Data_Subject_Rights,Enforcement","BH-PDPA-O49","BH-PDPL","1.0","article","BH-PDPL:Art.25"
"Bahrain","PDPA Ministerial Order 50/2022","Bahrain_PDPA_Order_50_2022_Criminal_Proceedings_Data","Ministerial Order","Personal Data Protection Authority","2022-03-17","2022-03-18","2022-03-17","https://www.pdp.gov.bh/en/executive-decisions.html","en","Articles 1-4","Confidentiality controls for processing data related to criminal proceedings implementing PDPL Article 7.","","privacy_narrow","reference_only","low","general","FALSE","","Criminal_Data,Confidentiality,Sensitive_Data","BH-PDPA-O50","BH-PDPL","1.0","article","BH-PDPL:Art.7"
